term,frequency
will,93
great,64
thank,45
us,40
elect,40
state,37
just,31
make,31
president,30
people,29
trump,29
today,24
job,23
time,23
get,22
go,22
win,21
country,18
media,18
bad,17
mani,17
never,17
new,17
total,17
vote,17
big,16
call,16
even,16
look,16
now,16
said,16
together,16
america,15
back,15
busi,15
last,15
work,15
year,15
hillari,14
much,14
news,14
pm,14
support,14
cnn,13
hack,13
join,13
like,13
one,13
report,13
unit,13
donald,12
know,12
night,12
want,12
wonder,12
general,11
intellig,11
meet,11
say,11
fake,10
good,10
john,10
must,10
nytim,10
polit,10
russia,10
take,10
terribl,10
thing,10
build,9
democrat,9
dishonest,9
mexico,9
plant,9
tax,9
world,9
wrong,9
alabama,8
american,8
announce,8
ask,8
campaign,8
can,8
company,8
deal,8
dont,8
fact,8
focus,8
ford,8
happi,8
hard,8
help,8
noth,8
ohio,8
result,8
see,8
th,8
thought,8
tomorrow,8
tri,8
way,8
act,7
allow,7
chang,7
come,7
congratul,7
dc,7
dem,7
fail,7
far,7
forward,7
foxnew,7
import,7
inaugur,7
indiana,7
leave,7
live,7
nation,7
realli,7
talk,7
ticket,7
won,7
alway,6
bias,6
billion,6
china,6
clinton,6
day,6
dollar,6
enjoy,6
florida,6
gave,6
happen,6
high,6
hous,6
interest,6
january,6
keep,6
let,6
lost,6
money,6
nice,6
obamacare,6
sad,6
soon,6
stay,6
tonight,6
two,6
use,6
washington,6
watch,6
apolog,5
begin,5
better,5
border,5
care,5
carrier,5
children,5
colleg,5
complet,5
coverag,5
doesnt,5
done,5
futur,5
hope,5
interview,5
kennedi,5
lincoln,5
loss,5
love,5
made,5
michigan,5
million,5
mobil,5
nbcnew,5
north,5
obama,5
order,5
part,5
parti,5
place,5
plan,5
popular,5
ralli,5
rate,5
republican,5
run,5
saturday,5
secretari,5
senat,5
show,5
special,5
success,5
think,5
victori,5
worker,5
wors,5
ac,4
accept,4
actual,4
air,4
also,4
anoth,4
anyon,4
base,4
bill,4
bring,4
cancel,4
cant,4
car,4
carolina,4
cast,4
committe,4
compar,4
confer,4
consid,4
cost,4
debat,4
discuss,4
djt,4
dnc,4
easili,4
final,4
forc,4
fraud,4
funni,4
give,4
head,4
inaccur,4
instead,4
invest,4
iowa,4
israel,4
jeffzeleni,4
long,4
lose,4
louisiana,4
major,4
massiv,4
met,4
mikep,4
move,4
movement,4
nbc,4
next,4
nomin,4
nuclear,4
pay,4
perhap,4
play,4
poor,4
prior,4
rais,4
russian,4
safe,4
sell,4
serious,4
small,4
strong,4
tickets,4
top,4
tower,4
transit,4
voter,4
week,4
well,4
wisconsin,4
yesterday,4
addit,3
administr,3
afford,3
angri,3
around,3
assang,3
attack,3
beauti,3
best,3
birthday,3
bush,3
cabinet,3
came,3
capabl,3
chuck,3
complain,3
confid,3
congressman,3
continu,3
cover,3
crime,3
defens,3
delay,3
differ,3
divid,3
expect,3
expens,3
express,3
fals,3
fayettevill,3
first,3
follow,3
fool,3
foreign,3
forgotten,3
foundat,3
friend,3
fulli,3
georg,3
germani,3
govern,3
green,3
guy,3
hamilton,3
healthcar,3
hero,3
honor,3
illegal,3
impress,3
increase,3
isnt,3
jame,3
julian,3
kentucki,3
knew,3
law,3
leader,3
less,3
lie,3
longer,3
may,3
memori,3
mike,3
militari,3
mistake,3
morn,3
motor,3
near,3
nuke,3
number,3
nyc,3
office,3
offici,3
old,3
open,3
oppon,3
orlando,3
paid,3
pence,3
pennsylvania,3
person,3
pick,3
plus,3
point,3
posit,3
prayer,3
press,3
problem,3
product,3
protest,3
question,3
real,3
recount,3
regard,3
release,3
remember,3
respect,3
right,3
saw,3
scam,3
schumer,3
season,3
set,3
since,3
socal,3
spend,3
spent,3
start,3
steven,3
stori,3
threat,3
truly,3
turn,3
understand,3
unfair,3
upset,3
various,3
wall,3
white,3
wont,3
york,3
abl,2
across,2
affect,2
ago,2
alli,2
already,2
ambassador,2
answer,2
anymore,2
apprentice,2
arizona,2
arm,2
becom,2
bigger,2
blame,2
boe,2
britain,2
burn,2
buy,2
california,2
candid,2
ceo,2
certain,2
certifi,2
chair,2
chairman,2
chariti,2
chief,2
christma,2
cia,2
cincinnati,2
claim,2
clown,2
communiti,2
complex,2
comput,2
concern,2
conflict,2
consequ,2
control,2
credibl,2
crook,2
crowd,2
dead,2
decemb,2
deduct,2
deliv,2
democraci,2
depart,2
des,2
despit,2
develop,2
difficult,2
dog,2
donact,2
donã_t,2
doubt,2
dr,2
drone,2
dts,2
due,2
embarrass,2
eric,2
especi,2
etc,2
ever,2
everyon,2
evid,2
expand,2
explor,2
extrem,2
fall,2
famili,2
fan,2
fantast,2
fbi,2
fiat,2
fight,2
fill,2
financi,2
fire,2
firework,2
fix,2
franklin,2
free,2
full,2
fun,2
game,2
got,2
governor,2
hatr,2
histori,2
hit,2
hold,2
horribl,2
horrifi,2
httpstcoahqncv,2
icymi,2
imagin,2
includ,2
incorrect,2
incred,2
index,2
infest,2
info,2
inform,2
interf,2
isi,2
jan,2
jane,2
japan,2
jimbrownnfl,2
journalist,2
journey,2
kasich,2
landslid,2
later,2
lead,2
leak,2
letter,2
level,2
lewi,2
littl,2
llbean,2
lockhe,2
machin,2
mad,2
maga,2
magazin,2
man,2
mandat,2
masa,2
matti,2
mayor,2
men,2
mess,2
mind,2
minut,2
moin,2
mrs,2
murder,2
name,2
navi,2
need,2
nomine,2
onto,2
oper,2
optim,2
organ,2
other,2
overr,2
owe,2
passion,2
phoni,2
placeth,2
polici,2
possibl,2
potenti,2
price,2
produc,2
proof,2
proud,2
pundit,2
putin,2
rather,2
readi,2
reason,2
reciev,2
record,2
reduc,2
relationship,2
repres,2
rex,2
ridicul,2
rule,2
sat,2
scrap,2
secret,2
secur,2
send,2
sens,2
serv,2
servic,2
shame,2
simpl,2
simpli,2
slaughter,2
smaller,2
smooth,2
somebodi,2
south,2
speech,2
steelwork,2
subscrib,2
suffer,2
surg,2
swamp,2
swear,2
swing,2
taiwan,2
talent,2
tennessee,2
term,2
thanksgiving,2
theater,2
three,2
thursday,2
tillerson,2
tremend,2
troubl,2
typic,2
un,2
univers,2
unpreced,2
unverifi,2
vp,2
wait,2
wasnt,2
watcha,2
water,2
weapon,2
went,2
weve,2
wish,2
without,2
women,2
worst,2
wow,2
yet,2
abil,1
absolut,1
accur,1
acquir,1
action,1
actress,1
ad,1
add,1
address,1
admir,1
advis,1
afraid,1
ag,1
againa,1
agenc,1
agenda,1
agre,1
agreement,1
ahead,1
airplan,1
aitac,1
al,1
album,1
alleg,1
although,1
amaz,1
amdb,1
americafirst,1
andor,1
anna,1
anyway,1
apart,1
appal,1
appreci,1
approach,1
arabia,1
arena,1
armynavi,1
arnold,1
attorney,1
atw,1
australia,1
avail,1
award,1
away,1
baja,1
baldwin,1
bank,1
barbara,1
baton,1
battlefield,1
bayer,1
bean,1
beat,1
bedminst,1
beginningkeep,1
behaldb,1
behavior,1
believ,1
belittl,1
ben,1
biggest,1
billgat,1
blast,1
blazingthi,1
bless,1
bob,1
bold,1
book,1
boy,1
brand,1
brennan,1
brief,1
brought,1
budget,1
buildup,1
built,1
bus,1
busines,1
businessman,1
buzzfe,1
camera,1
canact,1
cancer,1
card,1
careless,1
carlo,1
carson,1
carter,1
case,1
castro,1
catch,1
celebr,1
chanc,1
chao,1
charg,1
chemistri,1
chevi,1
chicago,1
choic,1
choos,1
chosen,1
chris,1
chrysler,1
chucktodd,1
circul,1
citi,1
citizenship,1
civil,1
clapper,1
class,1
classifi,1
clearanc,1
club,1
