term,frequency
hillary,114
clinton,96
will,81
thank,73
draintheswamp,69
debate,60
crook,54
vote,48
join,43
trump,41
great,40
get,38
bigleaguetruth,35
go,35
time,35
watch,33
obamacare,32
maga,28
america,34
elect,27
make,27
ohio,27
tomorrow,27
let,26
florida,25
support,25
new,24
poll,24
now,23
email,22
people,21
country,19
rally,19
win,19
american,20
just,18
pennsylvania,17
carolina,16
icymi,16
north,16
presid,16
campaign,15
can,15
live,15
tonight,15
colorado,14
job,14
media,14
state,14
today,14
repeal,14
never,13
obama,13
us,13
voter,13
day,12
look,12
movement,12
disast,11
even,11
replac,11
wikileak,11
year,11
rig,11
big,10
change,10
crowd,10
fail,10
first,15
michigan,10
run,10
say,10
women,10
back,9
bad,9
fbi,9
happen,9
million,9
need,9
take,9
total,9
wow,9
bill,8
call,8
creat,8
donald,8
fight,8
got,8
hampshir,8
lie,8
mani,8
must,8
night,8
noth,8
obamacarefail,8
plan,8
rapid,8
see,8
stori,8
talk,8
togeth,8
unbeliev,8
want,8
way,8
arizona,7
cnn,7
corrupt,7
dem,7
here,7
hous,7
last,7
like,7
offici,7
one,7
order,7
safe,7
soon,7
team,7
cant,6
cleveland,6
depart,6
dishonest,6
dont,6
economi,6
give,6
govern,6
histori,6
immigr,6
lead,6
main,6
much,6
nation,6
novemb,6
paul,6
question,6
republican,6
ryan,6
said,6
secret,6
server,6
stop,6
ticket,6
top,6
trumppenc,6
washington,6
well,6
white,6
work,6
world,6
act,5
aid,5
beach,5
beauti,5
believ,5
cincinnati,5
crimin,5
dc,5
democrat,5
drug,5
excit,5
far,5
grand,5
head,5
iowa,5
isi,5
islam,5
land,5
leadership,5
love,5
made,5
mikep,5
offic,5
oh,5
outsid,5
paytoplay,5
person,5
polit,5
premium,5
protect,5
push,5
tampa,5
tax,5
thing,5
virginia,5
watchd,5
fraud,5
system,5
account,4
afford,4
agre,4
amaz,4
announc,4
attack,4
caught,4
charlott,4
come,4
deal,4
didnt,4
donaldtrump,4
done,4
ever,4
everi,4
facebook,4
famili,4
final,4
fix,4
foreign,4
four,4
gave,4
governor,4
heredb,4
hope,4
illeg,4
incred,4
interview,4
investig,4
keep,4
know,4
leader,4
lost,4
massiv,4
mess,4
moder,4
napl,4
nevada,4
news,4
nomine,4
page,4
podesta,4
point,4
polici,4
problem,4
promis,4
radic,4
regist,4
releas,4
rememb,4
right,4
scandal,4
seen,4
speak,4
speech,4
spring,4
st,4
terrorist,4
th,4
thought,4
todb,4
turn,4
two,4
unit,4
use,4
wife,4
wilmington,4
accus,3
advis,3
afternoon,3
allow,3
anyth,3
augustin,3
bangor,3
berni,3
better,3
biggest,3
border,3
busi,3
cedar,3
charg,3
chariti,3
close,3
co,3
comey,3
continu,3
counti,3
cuba,3
dd,3
defeat,3
delet,3
deliv,3
deplor,3
dept,3
doesnt,3
end,3
equal,3
exclus,3
fl,3
forget,3
foundat,3
friend,3
geneva,3
govt,3
greeley,3
hack,3
hand,3
hard,3
hear,3
