term,frequency
will,60
great,46
america,31
news,27
fake,26
people,26
job,26
country,25
us,23
just,20
big,19
media,19
bad,17
make,17
obama,17
thank,17
come,15
meet,15
time,15
elect,14
go,14
presid,14
back,13
even,13
fail,13
new,13
today,13
interview,12
mani,12
nytimes,12
pm,12
trump,12
win,12
court,11
illeg,11
nation,11
now,11
one,11
secur,11
tonight,11
year,11
congratul,10
day,10
get,10
look,10
state,10
decis,9
democrat,9
enjoy,9
general,9
minist,9
prime,9
russia,9
stori,9
whitehous,9
women,9
ban,8
begin,8
can,8
ceo,8
healthcar,8
hous,8
join,8
like,8
long,8
talk,8
total,8
abe,7
administr,7
billion,7
border,7
busi,7
deal,7
first,7
iran,7
judg,7
know,7
must,7
obamacar,7
say,7
sinc,7
take,7
vote,7
washington,7
white,7
wonder,7
work,7
yesterday,7
allow,6
bring,6
cnn,6
dont,6
forward,6
foxandfriend,6
happen,6
immigr,6
leak,6
live,6
morn,6
never,6
order,6
ralli,6
report,6
said,6
session,6
statement,6
tax,6
terribl,6
week,6
wrong,6
abc,5
alway,5
better,5
cabinet,5
continu,5
far,5
foxnew,5
full,5
good,5
lead,5
lost,5
major,5
much,5
parti,5
press,5
right,5
secretari,5
still,5
support,5
system,5
togeth,5
two,5
unit,5
vp,5
watch,5
well,5
along,4
amaz,4
anoth,4
apolog,4
believ,4
call,4
care,4
charg,4
classifi,4
concern,4
control,4
crowd,4
danger,4
dc,4
dem,4
discuss,4
dnc,4
doesnt,4
execut,4
fast,4
fire,4
florida,4
forgotten,4
govern,4
honor,4
inform,4
invest,4
japan,4
larg,4
leader,4
lie,4
lose,4
made,4
man,4
million,4
nice,4
noth,4
optim,4
other,4
plan,4
play,4
poll,4
problem,4
program,4
protest,4
put,4
rate,4
real,4
repres,4
republican,4
run,4
russian,4
sad,4
save,4
smart,4
speech,4
suprem,4
tell,4
thing,4
view,4
wall,4
way,4
weak,4
world,4
address,3
agre,3
andrew,3
attorney,3
australia,3
berni,3
bill,3
buy,3
campaign,3
case,3
certain,3
chicago,3
chief,3
compani,3
confer,3
construct,3
cut,3
daughter,3
delay,3
dinner,3
disast,3
dishonest,3
done,3
